id	title	context	solution	study_limitations
15	Singing teaching as a therapy for chronic respiratory disease: a randomised controlled trial and qualitative evaluation	chronic obstructive pulmonary disease	singing workshops, physical domain|7.5SF36, reduced chronic obstructive pulmonary disease symptoms, increased breath control, increased function, improved mood, feeling of community, social support, sense of achievement	group similar at baseline, small numbers, single blind, no power calculation
16	Singing classes for chronic obstructive pulmonary disease: a randomized controlled trial	chronic obstructive pulmonary disease	group singing, physical domain|12.9SF-36, increased breath control, improved mood, sense of community, social support, sense of achievement, efficacy	group similar at baseline, single blind, researcher/participant relationship not considered, qualitative data analysis not detailed
17	Effects of music-based therapy on distress following knee arthroplasty	total knee arthroscopy	choral singing, hospital anxiety and depression scale|mean not available	small numbers, homogeneous group
18	Effects of singing classes on pulmonary function and quality of life of COPD patients	chronic obstructive pulmonary disease	folk songs, respiratory exercise, respiratory exercise	group similar at baseline, small numbers, blinding not stated
19	The impact of group singing on mood, coping and perceived pain in chronic pain patients attending a multidisciplinary pain clinic	chronic pain	lively tempo	no difference between the groups, blinding not stated
20	Effect of singing on respiratory function, voice, and mood after quadriplegia: a randomized controlled trial	quadriplegics	group singing	group similar at baseline, single blind
21	Therapeutic singing as an adjunct for pulmonary rehabilitation participants with COPD: Outcomes of a Feasibility Study	chronic obstructive pulmonary disease advanced	group singing	no improvements in singing compared to usual care, group similar at baseline, small numbers, self-selected groups
22	A pilot investigation of quality of life and lung function following choral singing in cancer survivor sand their carers	cancer	intervention not available, health related quality of life|+9.1, improved mood, increased confidence, increased self-esteem, sense of belonging, opportunity to share mutual experiences, working towards a goal	no control, small numbers, researcher/participant relationship not considered, qualitative data analysis not detailed
23	A UK feasibility study on the value of singing for people with Chronic Obstructive Pulmonary Disease (COPD)	chronic obstructive pulmonary disease	intervention not available, health related quality of life|+3.3	no control
24	‘Stroke a Chord’: the effect of singing in a community choir on mood and social engagement for people living with aphasia following a stroke	stroke	community choir, mood|-12 at 12 weeks -1.9 at 20 weeks, increased confidence, improved mood, social connection, sense of belonging, enjoyment, improved communication	no control, small numbers, no statistical analysis
25	The effect of group music therapy on mood, speech, and singing in individuals with Parkinson’s disease—a feasibility study	parkinson's disease	group singing	no changes, no control, small numbers
26	Singing in groups for Parkinson’s disease (SING-PD): a pilot study of group singing therapy for PD-related voice speech disorders	parkinson's disease	intervention not available	no changes, no control
27	Does a ‘Singing Together Group’ improve the quality of life of people with a dementia and their carers? A pilot evaluation study	dementia	group singing, fulfilment, enjoyment, opportunity to do something new, oppportunity to learn, social inclusion, enhanced emotions	no control, small numbers, no changes, researcher/participant relationship not considered
33	Commuity mental health music therapy: a consumer-initiated song-based paradigm	adult mental health	song based music therapy programme, fun, relaxation, social interaction, sense of belonging, focus, support, creativity, skill development, structure, stability, mental health recovery, improved mood, increased confidence, increased self-esteem, artistic expression	researcher/participant relationship not considered
34	The significance of choral singing for sustaining psychological wellbeing: findings from a survey of choristers in England, Australia and Germany	choral societies	improved mood, focused attention, deep breathing, social support, cognitive stimulation, opportunity for regular commitment	recruitment strategy not explicit, brief description of analysis
35	Benefits of group singing for people with eating disorders: preliminary findings from a non-clinical study	eating disorders	singing workshops, re-connection with bodily sensations, relaxation, awareness of body, mental engagement, helps to distance from problems, emotional release, self-expression, increased self-esteem, feeling supported, healthy social interaction, reduced stressed, feelings of empowerment	researcher/participant relationship not considered
36	‘Singing for the Brain’: reflections on the human capacity for music arising from a pilot study of group singing with Alzheimer’s patients	alzheimer's disease	singing sessions, participation, increased confidence, social interaction, vitality, improved mood	researcher/participant relationship not considered, lack of detail
38	‘To be heard’: the social and mental health benefits of choir singing for disadvantaged adults	chronic mental illness	choir sessions, positive emotions, positive spiritual experiences, improved self-perception, increased singing ability, sense of belonging, acceptance, connection with local community, increased social functioning, positive health benefits, routine, structure	researcher/participant relationship not considered, researchers joined choir potentially influencing responses
